pflanzen_id,deutscher_name,kategorie,aktivitaet,phase_von,phase_bis,monat_von,monat_bis,laufend,hinweis,quelle
KR000002,Schnittlauch,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000002,Schnittlauch,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000003,Dill,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000003,Dill,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000003,Dill,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000003,Dill,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000003,Dill,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000003,Dill,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000003,Dill,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000004,Kerbel,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000005,Liebstöckel,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000006,Koriander,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000006,Koriander,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000006,Koriander,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000006,Koriander,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000006,Koriander,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000006,Koriander,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000006,Koriander,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000007,Basilikum,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000008,Thai-Basilikum,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000009,Zitronenbasilikum,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000010,Heiliges Basilikum,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000011,Oregano,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000012,Majoran,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000012,Majoran,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000012,Majoran,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000012,Majoran,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000012,Majoran,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000012,Majoran,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000012,Majoran,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000013,Thymian,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000014,Zitronenthymian,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000014,Zitronenthymian,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000015,Quendel,Anbau,Aussaat,2,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Anbau,Aussaat,7,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Anbau,Teilung/Vermehrung,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Anbau,Pflanzung,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Anbau,Teilung/Vermehrung,7,8,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Anbau,Pflanzung,7,8,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Nutzung,Ernte,3,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Nutzung,Blüte,4,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Pflege,Pflege (allgemein),,,,,1,Selbstaussaat möglich; junge Blätter bevorzugt ernten; Rückschnitt nach Bedarf; Samenstände bei Bedarf stehen lassen,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000015,Quendel,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000016,Rosmarin,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000016,Rosmarin,Pflege,Winterschutz,9,10,,,0,frostempfindlich – vor Frost schützen/einräumen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000017,Salbei,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000017,Salbei,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000018,Bohnenkraut,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000018,Bohnenkraut,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000018,Bohnenkraut,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000018,Bohnenkraut,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000018,Bohnenkraut,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000018,Bohnenkraut,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000018,Bohnenkraut,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Anbau,Pflanzung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Nutzung,Ernte,4,8,,,1,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Nutzung,Blüte,5,7,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Pflege,Rückschnitt,2,3,,,0,i.d.R. im Frühjahr; Detail s. Pflegetext,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Pflege,Pflege (allgemein),,,,,1,Regelmäßig schneiden/beernten; Stauden im Frühjahr zurückschneiden; Teilung/Verjüngung bei Bedarf; Winterschutz je nach Art,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000019,Bergbohnenkraut,Pflege,Winterschutz,9,10,,,0,im Topf/Kübel Wurzelballen vor Durchfrieren schützen,Regel: zwei-Ursachen-Modell (Frost/Gefäß)
KR000020,Estragon,Anbau,Vorkultur,2,3,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
KR000020,Estragon,Anbau,Teilung/Vermehrung,3,4,,,0,,DWD/gärtnerisches Standardwissen; aus Monatsangabe der Masterliste V35 auf Phänophase gemappt
